"Source Url","Name","Address","Added On"
"https://www.rightmove.co.uk/property-for-sale/property-45072756.html","2 bedroom flat for sale","Roby Court, Liverpool, L36 4NA","26 October 2016"
"https://www.rightmove.co.uk/property-for-sale/property-51791001.html","1 bedroom retirement property for sale","Albeny Gate, St. Albans, Hertfordshire","23 November 2017"
"https://www.rightmove.co.uk/property-for-sale/property-56392050.html","2 bedroom apartment for sale","Baptist Fold, Queensbury",""
"https://www.rightmove.co.uk/property-for-sale/property-56685909.html","4 bedroom detached house for sale","The Tissington at Fairfields, Aston, Old Mansfield Road;Aston;S26",""
"https://www.rightmove.co.uk/property-for-sale/property-57639984.html","3 bedroom house for sale","North Road","18 October 2018"
"https://www.rightmove.co.uk/property-for-sale/property-58572291.html","2 bedroom apartment for sale","Lulworth Place, Warrington, WA4",""
"https://www.rightmove.co.uk/property-for-sale/property-59563839.html","1 bedroom flat for sale","Hamworthy","16 January 2019"
"https://www.rightmove.co.uk/property-for-sale/property-59799063.html","2 bedroom apartment for sale","Ashton Road, Lancaster","28 January 2019"
"https://www.rightmove.co.uk/property-for-sale/property-60478281.html","4 bedroom detached house for sale","Dunkirk Close, Kempston, Bedfordshire, MK42","23 February 2019"
"https://www.rightmove.co.uk/property-for-sale/property-60559113.html","3 bedroom end of terrace house for sale","South View Road, Sharrow",""
"https://www.rightmove.co.uk/property-for-sale/property-60930762.html","3 bedroom terraced house for sale","North Road, Preston Village, Brighton, East Sussex, BN1","13 March 2019"
"https://www.rightmove.co.uk/property-for-sale/property-61284852.html","2 bedroom park home for sale","Lancaster Road, Lancaster, Lancashire, LA3","28 March 2019"
"https://www.rightmove.co.uk/property-for-sale/property-61574286.html","3 bedroom semi-detached house for sale","Kenton Lane, Kenton, Newcastle upon Tyne, Tyne and Wear, NE3 3QE","11 April 2019"
"https://www.rightmove.co.uk/property-for-sale/property-61683228.html","1 bedroom apartment for sale","Horizons, 87 Churchfield Road, Poole, BH15","16 April 2019"
"https://www.rightmove.co.uk/property-for-sale/property-61865343.html","4 bedroom semi-detached bungalow for sale","Barton Hill, Fornham St. Martin, Bury St. Edmunds",""
"https://www.rightmove.co.uk/property-for-sale/property-62039892.html","3 bedroom semi-detached house for sale","Church Road, Leckhampton, Cheltenham, GL53","03 May 2019"
"https://www.rightmove.co.uk/property-for-sale/property-62190675.html","2 bedroom flat for sale","Willingdon Road, Eastbourne","10 May 2019"
"https://www.rightmove.co.uk/property-for-sale/property-62397225.html","2 bedroom house for sale","Northgate, Canterbury","20 May 2019"
"https://www.rightmove.co.uk/property-for-sale/property-62448030.html","2 bedroom apartment for sale","The Bar, St James Gate, NEWCASTLE UPON TYNE, Tyne and Wear, NE1","22 May 2019"
"https://www.rightmove.co.uk/property-for-sale/property-62488686.html","4 bedroom semi-detached house for sale","The Glade, Abbey Farm, North Walbottle, Newcastle Upon Tyne, NE15","24 May 2019"
"https://www.rightmove.co.uk/property-for-sale/property-62638854.html","3 bedroom semi-detached house for sale","Woodman Road, Warley, Brentwood, Essex, CM14","30 May 2019"
"https://www.rightmove.co.uk/property-for-sale/property-62640108.html","2 bedroom flat for sale","63 Panorama Road, Sandbanks, Poole","29 May 2019"
"https://www.rightmove.co.uk/property-for-sale/property-62704119.html","4 bedroom detached house for sale","Birklands Road, Huddersfield, West Yorkshire, HD2","01 June 2019"
"https://www.rightmove.co.uk/property-for-sale/property-62737164.html","2 bedroom house for sale","Braybon Yard","03 June 2019"
"https://www.rightmove.co.uk/property-for-sale/property-62737785.html","2 bedroom bungalow for sale","Compton Place, Carpenders Park",""
"https://www.rightmove.co.uk/property-for-sale/property-62746326.html","5 bedroom semi-detached house for sale","Merewood Avenue, Oxford, OX3","03 June 2019"
"https://www.rightmove.co.uk/property-for-sale/property-62771526.html","2 bedroom end of terrace house for sale","Larchwood, Lancaster, LA1 4QG","04 June 2019"
"https://www.rightmove.co.uk/property-for-sale/property-62988438.html","2 bedroom flat for sale","Dean Park","12 June 2019"
"https://www.rightmove.co.uk/property-for-sale/property-63319011.html","2 bedroom maisonette for sale","Estridge Close, Hounslow, TW3","27 June 2019"
"https://www.rightmove.co.uk/property-for-sale/property-63422595.html","7 bedroom semi-detached house for sale","Lymm Hall, Lymm","02 July 2019"
"https://www.rightmove.co.uk/property-for-sale/property-63495411.html","2 bedroom town house for sale","Lock Keepers Way, Hanley, Stoke-On-Trent, Staffordshire, ST1 3NS","05 July 2019"
"https://www.rightmove.co.uk/property-for-sale/property-63559467.html","3 bedroom terraced house for sale","Lawrence Road, Wavertree","08 July 2019"
"https://www.rightmove.co.uk/property-for-sale/property-63685467.html","4 bedroom terraced house for sale","Black Cat Drive, Northampton, NN5 4EA",""
