"Source Url","Link","Type","Address","Added Or Reduced"
"https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E1014&sortType=6&index=0","https://www.rightmove.co.uk/property-for-sale/property-89106659.html","3 bedroom terraced house for sale","Lyncroft Way, Kingsthorpe, Northampton NN2 6LX","Added on 04/02/2020"
"https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E1014&sortType=6&index=0","https://www.rightmove.co.uk/property-for-sale/property-88832012.html","2 bedroom detached house for sale","Kimble Close, East Hunsbury, Northampton","Reduced today"
"https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E1014&sortType=6&index=0","https://www.rightmove.co.uk/property-for-sale/property-83648810.html","1 bedroom ground floor flat for sale","St Georges Street, Northampton","Added today"
"https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E1014&sortType=6&index=0","https://www.rightmove.co.uk/property-for-sale/property-92260856.html","2 bedroom bungalow for sale","Harleston Mews, Northampton, NN5","Reduced today"
"https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E1014&sortType=6&index=0","https://www.rightmove.co.uk/property-for-sale/property-92260847.html","3 bedroom terraced house for sale","Harleston Mews, Northampton, NN5","Reduced today"
"https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E1014&sortType=6&index=0","https://www.rightmove.co.uk/property-for-sale/property-68563545.html","4 bedroom detached house for sale","Duston","Reduced today"
"https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E1014&sortType=6&index=0","https://www.rightmove.co.uk/property-for-sale/property-63685467.html","4 bedroom terraced house for sale","Black Cat Drive, Northampton, NN5 4EA","Reduced today"
"https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E1014&sortType=6&index=0","https://www.rightmove.co.uk/property-for-sale/property-92452628.html","3 bedroom terraced house for sale","Loyd Road, Abington, Northampton, NN1","Added yesterday"
"https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E1014&sortType=6&index=0","https://www.rightmove.co.uk/property-for-sale/property-79860799.html","3 bedroom semi-detached house for sale","West Leys Court, Moulton, Northampton, NN3","Added yesterday"
"https://www.rightmove.co.uk/property-for-sale/find.html?locationIdentifier=REGION%5E1014&sortType=6&index=0","https://www.rightmove.co.uk/property-for-sale/property-92445659.html","1 bedroom apartment for sale","Welford Road, Northampton, Northamptonshire, NN2","Added yesterday"
